date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:20	39742/39742	---M--	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202024%2005:26:18%20GMT	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Usuario/Login.html	(from )
01:26:21	1311/1311	---M--	401	error ('Unauthorized')	text/html	date:Fri,%2014%20Jun%202024%2005:26:18%20GMT	https://econet.bancoecofuturo.com.bo:447/robots.txt		(from )
01:26:21	14201/14201	---M--	200	added ('OK')	image/png	etag:%225163db8c955d81:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/BANCA_INTERNET.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/BANCA_INTERNET.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:22	31004/31004	---M--	200	added ('OK')	text/css	etag:%22a07da5eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Content/font-awesome.min.css	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Content/font-awesome.min.css	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:23	43923/43923	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Jun%202024%2004:36:48%20GMT	https://polyfill.io/v3/polyfill.min.js?features=Promise%2CPromise.prototype.finally%2CTextDecoder%2CTextEncoder%2CObject.entries	D:/ecofuturo/ecofuturo/polyfill.io/v3/polyfill.minfc9e.js	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:23	9189/9189	---M--	200	added ('OK')	image/png	etag:%22d037685eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/iconos/ayuda.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/iconos/ayuda.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:24	20885/20885	---M--	200	added ('OK')	image/jpeg	etag:%229c6a105eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/Logo_Econet.jpg	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/Logo_Econet.jpg	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:24	1424/1424	---M--	200	added ('OK')	image/png	etag:%229575575eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/imagenes/eye_pass_close.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/imagenes/eye_pass_close.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:25	17051/17051	---M--	200	added ('OK')	image/png	etag:%229575575eb689da1:0%22	https://econet.bancoecofuturo.com.bo:447/EconetWeb/Imagenes/eye_pass.png	D:/ecofuturo/ecofuturo/econet.bancoecofuturo.com.bo_447/EconetWeb/Imagenes/eye_pass.png	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
01:26:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jun%202024%2005:26:23%20GMT	http://seal.globalsign.com/SiteSeal/images/gs_noscript_110-45_en.gif	D:/ecofuturo/ecofuturo/seal.globalsign.com/SiteSeal/images/gs_noscript_110-45_en.8.delayed	(from https://econet.bancoecofuturo.com.bo:447/EconetWeb/Usuario/Login)
